csvNORAD_ID,TLE_LINE1,TLE_LINE2
90014U,1 90014U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90014  98.0764 148.5282 0003220 281.6710 181.6027 15.304753644
90015U,1 90015U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90015  97.9186 319.0347 0003435 139.2694 274.7831 15.349869065
90016U,1 90016U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90016  95.1558 105.8142 0005524  49.9574  62.3166 15.366500266
90017U,1 90017U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90017  95.4684 133.8752 0008447 336.9190  23.8072 15.236134957
90018U,1 90018U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90018  97.2342  98.6797 0003633 160.9198  37.6514 15.372539988
90019U,1 90019U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90019  97.7951 344.0641 0005284 222.7247  17.1988 15.372166759
90020U,1 90020U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90020  98.6050  58.1942 0005662 117.5031 313.3323 15.310363600
90021U,1 90021U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90021  97.9275 146.5792 0002247 326.4410 208.3576 15.380734421
90022U,1 90022U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90022  98.1954 136.1597 0002216  40.4706 309.0004 15.253264002
90023U,1 90023U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90023  98.8808   5.6426 0008710   9.5317   6.8567 15.309370933
90024U,1 90024U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90024  95.1974  26.2797 0005803 107.7391 258.2748 15.317138464
90025U,1 90025U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90025  96.1016 136.7082 0009167  69.1989 182.6695 15.331707465
90026U,1 90026U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90026  96.2243 185.0729 0002507 283.2816 291.5761 15.339097476
90027U,1 90027U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90027  98.4870 257.7571 0007271 161.1634 355.2847 15.364302777
90028U,1 90028U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90028  98.0590 248.5791 0006013  64.2991 255.6037 15.251684278
90029U,1 90029U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90029  95.2275  17.6997 0007417  93.8184  17.4181 15.325011039
90030U,1 90030U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90030  98.8070 246.0226 0009267 246.3807 136.0601 15.314145140
90031U,1 90031U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90031  98.3530 123.6988 0009659 359.7291 296.5847 15.247442421
90032U,1 90032U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90032  95.2718  42.0854 0001853  38.0413  68.9392 15.306952492
90033U,1 90033U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90033  96.2487 117.4313 0008206 159.9475  91.4704 15.344434883
90034U,1 90034U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90034  96.6342  82.5901 0007546 323.1031 299.4165 15.246362184
90035U,1 90035U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90035  98.0958 356.8665 0005746 115.2053 111.1800 15.280447865
90036U,1 90036U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90036  97.4988 224.9851 0003529 252.4753 293.6768 15.377308096
90037U,1 90037U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90037  98.5221 127.9070 0008384  52.1143  95.2579 15.265639347
90038U,1 90038U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90038  98.9371  98.2863 0001150 141.4379 104.3124 15.368570408
90039U,1 90039U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90039  96.7559 338.5160 0008069  91.2569 213.4357 15.329615909
90040U,1 90040U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90040  98.4721 323.6885 0007203 286.8850 127.2644 15.261681580
90041U,1 90041U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90041  95.2973 305.1197 0003067  85.7802 192.2283 15.319171021
90042U,1 90042U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90042  96.5654 179.3778 0001394 210.2361 202.4101 15.339963192
90043U,1 90043U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90043  96.9536 325.2411 0003872  56.1871 276.2963 15.281340953
90044U,1 90044U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90044  96.0149 321.4543 0006471  43.7711 176.7807 15.274209164
90045U,1 90045U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90045  96.8183 243.2477 0005999 118.7886 306.1341 15.381422035
90046U,1 90046U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90046  97.4788 204.2224 0001459  58.7206 173.9684 15.299040516
90047U,1 90047U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90047  95.8326 171.0423 0001615  11.0005 248.9300 15.347863237
90048U,1 90048U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90048  97.5442 197.5010 0005736 246.4567 141.2610 15.343944328
90049U,1 90049U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90049  95.8577 318.5514 0002219 103.0654 253.5015 15.259371679
90050U,1 90050U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90050  97.4051 307.4056 0009012 109.1610  82.9786 15.329380810
90051U,1 90051U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90051  96.5143 158.0096 0006477 155.4401  97.8530 15.342878381
90052U,1 90052U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90052  97.1768 333.3769 0005879 110.7397 305.6296 15.255130402
90053U,1 90053U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90053  96.0535  18.0908 0002440 162.9890 194.5447 15.347396893
90054U,1 90054U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90054  97.0758 289.4083 0004638 247.1913 306.8864 15.240670574
90055U,1 90055U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90055  96.1597  91.5517 0005512 299.2694 179.9019 15.377334045
90056U,1 90056U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90056  98.1508 141.7234 0006490 203.7350 264.5820 15.282416716
90057U,1 90057U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90057  98.8103 313.6920 0003111 245.8060 256.0571 15.331755827
90058U,1 90058U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90058  95.9279  36.9133 0008098 297.1951  67.6916 15.285699078
90059U,1 90059U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90059  95.5639 341.1016 0002705  85.9740 311.8873 15.262074009
90060U,1 90060U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90060  98.0101  54.4803 0004222 105.3431 255.0651 15.371898300
90061U,1 90061U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90061  98.9303 305.5708 0008274 123.2821  10.0551 15.264129401
90062U,1 90062U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90062  95.3359 264.5189 0004412 352.3232 340.8540 15.378130852
90063U,1 90063U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90063  96.2693 160.9200 0009380  93.3767 290.3250 15.326908243
90064U,1 90064U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90064  96.0851 129.9922 0005401 124.4636 231.8335 15.359511904
90065U,1 90065U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90065  96.8477  65.8065 0001300 246.8452 210.0227 15.266638085
90066U,1 90066U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90066  96.3870 319.4667 0002923 259.2565 299.7410 15.347487126
90067U,1 90067U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90067  97.0157 215.3036 0003270  12.1975   6.0854 15.248288167
90068U,1 90068U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90068  96.5917 197.2474 0002381 162.1575  90.9489 15.325927548
90069U,1 90069U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90069  97.5769 111.1329 0004993 275.3343 330.6824 15.322865689
90070U,1 90070U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90070  98.7669  93.4621 0008442 219.0088 327.8087 15.229536020
90071U,1 90071U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90071  96.0963  88.7404 0003272 209.4296 255.3876 15.272250071
90072U,1 90072U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90072  96.7872 347.4370 0007294 167.1640 133.9497 15.263056222
90073U,1 90073U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90073  96.3108  80.9048 0009628 257.5869 160.7771 15.345601323
90074U,1 90074U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90074  97.1363 344.0927 0005624 298.5246 247.5234 15.227236654
90075U,1 90075U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90075  96.5095  33.9168 0004135 266.1654 174.3341 15.231545745
90076U,1 90076U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90076  97.0048  71.6707 0001154  65.8080  64.8935 15.277947456
90077U,1 90077U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90077  97.1507 295.8921 0004851  34.5120 250.2076 15.270243377
90078U,1 90078U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90078  97.3503 239.0752 0001571 253.7517 252.3753 15.368476188
90079U,1 90079U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90079  95.9084 323.6383 0004320 278.5230  55.2523 15.317583469
90080U,1 90080U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90080  98.7121  81.9925 0006354   1.8705 335.7457 15.278691830
90081U,1 90081U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90081  96.4783 283.1190 0004014  68.3963 326.7253 15.318787611
90082U,1 90082U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90082  95.3441  73.4042 0002748 341.7711 243.0212 15.312823792
90083U,1 90083U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90083  98.8967 276.4357 0002787 309.3479  59.9092 15.294910103
90084U,1 90084U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90084  96.0537 147.0212 0008746 281.3301 183.0272 15.366476954
90085U,1 90085U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90085  95.2735 173.3568 0005204 233.8215 327.8109 15.288753995
90086U,1 90086U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90086  97.1160  87.6429 0001408 128.2813 148.2088 15.383121516
90087U,1 90087U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90087  97.6306 179.1853 0009182 151.9261 131.7193 15.383639067
90088U,1 90088U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90088  95.7899 166.8041 0003123 132.7239  18.6634 15.239497188
90089U,1 90089U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90089  98.7361 208.7659 0003740 191.4374 136.0544 15.280912599
90090U,1 90090U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90090  95.8780 110.8245 0003271 203.5333 319.7728 15.338882140
90091U,1 90091U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90091  95.5657 339.9768 0007469  71.5190 106.2071 15.247819641
90092U,1 90092U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90092  97.9783 133.7794 0009310 195.0009 185.2483 15.246105262
90093U,1 90093U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90093  96.4938   7.7079 0001073  79.2901 340.0776 15.285397233
90094U,1 90094U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90094  95.4098 260.8257 0004783 110.2946 100.0067 15.300820514
90095U,1 90095U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90095  95.2162  25.5716 0008292  18.7532 211.5045 15.249697985
90096U,1 90096U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90096  95.7045  44.2157 0001370 148.6958 301.5643 15.274962126
90097U,1 90097U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90097  98.4284 159.5134 0007806  48.6245 245.0073 15.316324317
90098U,1 90098U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90098  97.7428  53.6122 0006630 290.6626 291.9260 15.263553388
90099U,1 90099U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90099  97.3551  18.2639 0006808 273.9972 338.9488 15.348030779
90100U,1 90100U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90100  95.6832 134.6103 0008547 172.9618 108.4574 15.349705620
90101U,1 90101U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90101  98.0825 202.7371 0002991 220.9987 146.9355 15.279841721
90102U,1 90102U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90102  96.6955 236.5027 0005526 331.2703 170.6684 15.268320142
90103U,1 90103U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90103  98.9462 121.2879 0006857  73.4359 306.0670 15.344597803
90104U,1 90104U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90104  95.4841 184.9409 0005119 188.6377 126.3800 15.276042974
90105U,1 90105U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90105  97.0109 315.8365 0001994 308.5433 215.4074 15.304518125
90106U,1 90106U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90106  95.4435 216.5369 0004302  99.1149 131.0223 15.257739896
90107U,1 90107U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90107  95.2045  61.1246 0006011  98.7332 142.9265 15.315946627
90108U,1 90108U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90108  97.3966 300.1107 0006177 211.5923 355.7129 15.341156308
90109U,1 90109U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90109  96.2080 266.0828 0002198 120.3631  58.7569 15.221169299
90110U,1 90110U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90110  97.6012 226.3733 0009415  23.1784  91.0372 15.240105860
90111U,1 90111U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90111  97.9873 281.6786 0005281 192.9894  82.1879 15.226476721
90112U,1 90112U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90112  95.7436 322.1844 0002397 272.0443 339.6319 15.274993532
90113U,1 90113U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90113  96.9779 154.1989 0002482 347.3374 339.3200 15.341223813
90114U,1 90114U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90114  96.7463  54.6978 0009678 278.8822 206.4242 15.278669444
90115U,1 90115U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90115  96.8580 252.7743 0005693 335.5519  59.2862 15.294381865
90116U,1 90116U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90116  98.5086 164.7114 0001054 346.6967 133.6250 15.313724126
90117U,1 90117U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90117  96.8442 215.2797 0007157   9.1187  26.3231 15.343253677
90118U,1 90118U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90118  97.2280 262.7573 0009430 248.6569 341.7909 15.234536018
90119U,1 90119U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90119  96.1296 123.3752 0009851   2.7028 168.1816 15.367508899
90120U,1 90120U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90120  98.9437 308.5332 0005700 295.6458 109.3857 15.284503730
90121U,1 90121U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90121  95.8626 269.1730 0008534 340.8448 257.4853 15.329443781
90122U,1 90122U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90122  98.1162 105.6340 0004755 354.7176  96.4653 15.316825382
90123U,1 90123U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90123  95.5451  47.6539 0002426 105.3891 284.2966 15.233777303
90124U,1 90124U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90124  96.2713 169.0318 0008052 262.6303  87.4248 15.269750564
90125U,1 90125U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90125  97.6830 223.4647 0001513  76.4309 137.0773 15.295574725
90126U,1 90126U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90126  95.4237  95.8877 0004057 294.7335  12.9143 15.283467666
90127U,1 90127U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90127  95.5526  31.1296 0006480 156.1661 159.5278 15.330166207
90128U,1 90128U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90128  96.8024 322.6674 0007653  80.2189 208.8721 15.341802228
90129U,1 90129U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90129  95.1493 326.1502 0006923  63.8776 337.5081 15.235019589
90130U,1 90130U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90130  98.4319 205.0342 0004426 267.7992 206.3771 15.262674970
90131U,1 90131U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90131  95.2378  45.9518 0001380 285.2509  52.2603 15.282304051
90132U,1 90132U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90132  97.3280 251.4927 0008609 150.4298  33.0780 15.230645562
90133U,1 90133U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90133  96.4844 268.9380 0004691 228.8829  70.4715 15.249624213
90134U,1 90134U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90134  98.0189  52.0611 0009502 312.3577 337.4161 15.324462784
90135U,1 90135U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90135  97.9288 193.4608 0006910 289.6675 262.2825 15.338239495
90136U,1 90136U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90136  98.0873 282.6377 0005091 235.8132  12.6908 15.381580696
90137U,1 90137U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90137  97.9139 146.2737 0009499 139.2557 205.7449 15.266682707
90138U,1 90138U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90138  96.5481 137.2557 0003010 115.0646 309.6353 15.307448708
90139U,1 90139U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90139  96.1253 293.3071 0002690 162.0826  82.0458 15.328539849
90140U,1 90140U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90140  98.9655 181.3055 0002039 322.5795  83.0229 15.356489680
90141U,1 90141U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90141  97.8818 276.7702 0005625 168.8254  55.4241 15.274568731
90142U,1 90142U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90142  97.9843  62.3961 0008659 176.2995 256.2803 15.332702942
90143U,1 90143U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90143  96.4874 184.0157 0002963 229.8686 295.6214 15.303309843
90144U,1 90144U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90144  96.6591 297.7769 0002857 211.7418 355.7720 15.384150014
90145U,1 90145U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90145  95.8673 130.7769 0007231  18.4005 100.8703 15.295064325
90146U,1 90146U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90146  95.8590 132.8813 0006405  52.4201 246.1055 15.335105746
90147U,1 90147U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90147  98.1650 320.3988 0007786 101.5084  29.1663 15.331769257
90148U,1 90148U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90148  97.5594  11.9599 0006843  60.0988 330.9386 15.282044908
90149U,1 90149U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90149  97.6755 230.0790 0006411 231.7396 221.0856 15.326857519
90150U,1 90150U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90150  98.2484 216.2004 0008010  79.6982 258.0058 15.313870770
90151U,1 90151U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90151  97.8248 164.4957 0003800  65.6376 261.9653 15.381908511
90152U,1 90152U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90152  98.1966 319.6765 0004735 186.6561 163.4439 15.334598492
90153U,1 90153U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90153  98.0721 319.6007 0009011 210.1133 314.2289 15.222353183
90154U,1 90154U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90154  96.8406 288.1720 0005650 257.1868  46.7961 15.378107714
90155U,1 90155U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90155  97.5949 251.6926 0001686 187.8684 334.8014 15.286358965
90156U,1 90156U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90156  97.5503 224.7044 0007858 125.3285  53.2856 15.356288026
90157U,1 90157U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90157  95.2390  92.8198 0006852 228.4898 286.8404 15.331308057
90158U,1 90158U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90158  96.3507 162.8171 0008986 349.2845   7.7132 15.364091038
90159U,1 90159U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90159  95.5423 277.3458 0001881  71.0252 301.1461 15.276505549
90160U,1 90160U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90160  95.4811 331.1140 0009144 104.3565 176.4992 15.365503540
90161U,1 90161U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90161  95.6635 279.5960 0009138 341.9357 136.7555 15.384230281
90162U,1 90162U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90162  95.0848 285.6404 0008969 170.2584 175.0149 15.242517672
90163U,1 90163U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90163  98.6077 346.4528 0006385 233.7135 205.5413 15.336861923
90164U,1 90164U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90164  97.8489 123.4992 0002312  80.4980 245.3277 15.295396174
90165U,1 90165U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90165  96.0907 285.3753 0008128  20.7829 202.2566 15.305375275
90166U,1 90166U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90166  95.1134 281.9234 0006460   8.5795 196.7468 15.361961336
90167U,1 90167U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90167  96.7808 298.2805 0005730 103.1210 182.3951 15.279227807
90168U,1 90168U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90168  96.7701   5.6484 0001676  36.5661  24.5304 15.237152648
90169U,1 90169U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90169  98.1934 334.8275 0008478 227.4790 236.8130 15.239756789
90170U,1 90170U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90170  98.0276 182.3878 0001439  86.8013 212.3831 15.317776960
90171U,1 90171U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90171  95.0921   6.9310 0003195 242.2663  17.4537 15.293001621
90172U,1 90172U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90172  95.6828 164.2279 0007738 223.7493 174.7044 15.235139872
90173U,1 90173U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90173  96.3323 191.7923 0002720 223.2215 111.9395 15.294924283
90174U,1 90174U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9994,2 90174  95.8262  88.7082 0005741 195.4455 105.8187 15.381266364
90175U,1 90175U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9995,2 90175  97.8478 106.0939 0003971 336.6422  72.3076 15.385080525
90176U,1 90176U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9996,2 90176  98.0314 280.5770 0008631  57.8732  41.3122 15.319788376
90177U,1 90177U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9997,2 90177  98.2107 183.9114 0007668  92.6141 103.5225 15.299809237
90178U,1 90178U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9998,2 90178  96.0950 355.1609 0003666 187.4693 320.2233 15.346967298
90179U,1 90179U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9999,2 90179  96.2040 121.2964 0008254 217.2763 173.4383 15.261933279
90180U,1 90180U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9990,2 90180  98.3571 262.2862 0004665 235.0832  95.0326 15.380406870
90181U,1 90181U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9991,2 90181  95.8311 141.4109 0006482  19.8008  87.9243 15.306571551
90182U,1 90182U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9992,2 90182  96.7694 218.1549 0007700 336.1280  70.8393 15.273648182
90183U,1 90183U 25001A   25200.00000000  .00000000  00000-0  00000-0 0  9993,2 90183  98.6784 139.9302 0005755 231.7365  73.9244 15.362710943
